InvestorsName,Count
Fusiontech Ventures & Others,1
Future Fund,1
Gabriel Investments,1
Gagan Dugal,1
Gagan Goyal,1
Gagan Hasteer,1
Gain,1
Gaja Capital Private Equity Fund,1
Ganesh Narasimhan,1
Ganesh Natarajan,2
Gardx International,1
Gati Ltd,1
Gaurav Agarwal,3
Gaurav Bhalotia,3
Gaurav Bhatnagar,3
Gaurav Bhogle,1
Gaurav Dalmia,1
Gaurav Gupta,1
Gaurav Kachru,1
Gaurav Lochan,1
Gaurav Luniya,1
Gaurav Marya,1
Gaurav Munjal,1
Gaurav Sharma,1
Gaurav Singhvi,1
Gaurav Vats,1
Gautam Chhaochharia,1
Gautam Gandhi,1
Gautam Ivatury,1
Gautam Sinha,1
Gbim Technologies Pvt Ltd,1
Gems,1
Gems Advisory,2
Gems Group,1
General Catalyst,1
General Catalyst Partners,1
Geniee,1
Gfc,1
Ghv,1
Ghv Accelerator,4
Gic,2
Gic Ventures,1
Girish Mathrubootham,13
Girish Mathrubootham &Â  Group Of Other Angel Investors,1
Girish Matrubootham,1
Girish Reddy,1
Girnarsoft,2
Gleevoaz Ventures,1
Global Founders Capital,2
Globeinvestor,1
Globevestor,1
Globevestor Angel Fund,1
Gmo Japan,1
Gmo Payment Gateway,1
Goa,1
Gokaldas Exports Ltd,1
Gokul Jaykrishna,1
Gokul Rajaram,2
Goldman Sachs,6
Goldman Sachs Group,1
Google Capital,3
Google Capital & Accel Partners,1
Gopal Aggarwal,1
Gopal Srinivasan,1
Gordon And Betty Moore Foundation,1
Govind Rajan & Others,1
Gpa Group,1
Grace Capital Ventures,2
Grace Grace Techno Ventures Llp,1
Grasshoppers,1
Gray Matters Capital,3
Great Oaks Ventures,1
Gree Ventures,2
Green House Ventures,2
Green House Ventures (Ghv),4
Green House Ventures Accelerator,1
Green Shots Capital,1
Greenoaks Capital,3
Greenoaks Capital Partners,1
Grex,1
Grex.In,2
Grey Orange,1
Grey Orange Robotics,1
Greycroft,1
Greycroft Partners,2
Group Of 15 Angel Investors,1
Group Of Angel Investors,20
Group Of Angel Investors From Us/India,1
Group Of Hni Investors,1
Group Of Investors,2
Groupe Sos,1
Growthstory,2
Growx,1
Growx Ventures,10
Gsf,1
Gsf And Other Angel Investors,1
Gujarat Based Angel Investors,1
Gujarat Venture Finance Limited (Gvfl),1
Gujarat Venture Finance Ltd,1
Gulpreet Kohli,1
Gund Investment,1
Gurmeet Chahal & Others,1
Gurpreet Singh & Others,1
Guy Oseary,1
Gvfl,3
Gvfl Ltd,1
Gwb Group,1
Gyanendra Singh,1
H C Jain,1
Haldyn Glass,1
Hampton Capital,1
Hamraj Kumar,1
Haresh Chawla,3
Hari Krishna,1
Harinder Takhar,1
Harmeet Bajaj,1
Harminder Sahani,1
Harminder Sahni,1
Harmony Partners,2
Harpreet Singh Grover,2
Harsh Kundra,1
Harsh Mahajan,1
Harsh Mariwala,1
Harsh V. Pant,1
Harsh Vardhan Hada,1
Harvard Angels,1
Havya Sharma,1
Hax Accelerator,1
Hbm Healthcare Investments,2
Hcs Venture Capital Fund,1
Hdfc,2
Hdfc Bank,1
Healthsquad,1
Helion Advisors,1
Helion Venture,1
Helion Venture Partner,1
Helion Venture Partners,14
Helion Ventures,9
Hemang Sahani,1
Hemant Kanakia,1
Hemant Kaul,2
Hemant Sahni,1
Herb Madan,1
Hercules Capital,1
Hermes Group,1
Hero Motocorp,1
Hetal Sonpal,1
High Networth Individuals (No Details),1
High Networth Individuals From India & Usa,1
Hillhouse Capital,2
Himanshu Aggarwal,2
Himanshu Aggrawal,1
Hinduja Family,1
Hiro Mashita,2
Hirokazu,1
Hitesh Gupta,1
Hitesh Oberoi,1
Hitesh Windlass,1
Hitouch Ag,1
Holostik Group,1
Holtzbrink Ventures,1
Hooting Starts Sports Llp,1
Horizons Ventures,1
Horseferry,1
Hr Fund,1
Hr Technology Fund,1
Hrishi Oberoi,1
Hrishikesh Parandekar,1
Ht Digital Media Holdings Ltd,1
Ht Media,1
Ht Media Ltd,2
Huang Wei,1
Huzaifa Khorakiwala,1
Hyderabad Angels,9
Hyderabad Angels (At Startup Heroes Event),5
Hyderabad Based Investor,1
I-Cube-N,1
I2India Pvt Ltd,1
I2India Ventures,1
Ian Ventures,1
Ibhubs,1
Ibibo Group,1
Id Enablers Pvt Ltd,1
Idea Wave Labs,1
Ideaspring Capital,4
Ideation Initiative Pvt. Ltd,1
Idein Ventures,4
Idfc Parampara Early Stage Opportunities Fund,1
Idfc Spice Fund,1
Idg,1
Idg Ventures,23
Idg Ventures & Advantedge Fund,1
Idg Ventures India,15
Idg Ventures India Advisors,1
Ifc,2
Ifc Everstone Group,1
Ifmr,1
Ifmr Capital Finance,1
Ignition Partners,2
Iifl And Accel Partners,1
Iifl Seed Ventures,1
Iifl Seed Ventures Fund,1
Iifl Wealth Management Seed Venture Fund,1
Ilearnfinance Academy Pvt. Ltd,1
Imj Investment Partners,1
Imm Investment,1
Impact Investment Holding,1
Impanix Capital,1
Inara Capital,1
Inc,1
Inc95 Consulting,1
Incubate Fund,1
India Alternatives,1
India Educational Investment Fund,5
India Innovation Fund India Venture Partners,1
India Internet Fund,1
India Nivesh Growth Fund,1
India Quotient,22
India Quotient & Other Investors,1
India Quotient And Others,1
India Value Fund Advisors,1
India Ventures,1
Indiamart,1
Indian Angel Network,41
Indian Angel Network (Ian),2
Indian Angels Network,2
Indian Quotient,1
Indianideas.Com,1
Indianivesh Venture Capital Fund,1
Indochine International,1
Indus Age Partners,1
Infibeam,2
Infina Finance Pvt. Ltd,1
Inflexionpoint,1
Info Edge,1
Info Edge (India),2
Info Edge (India) Ltd,8
Infocomm Development Authority Of Singapore,1
Infocomm Investments,1
Infoedge,1
Infosys,1
Infosys Innovation Fund,1
Infuse Ventures,8
Infuse Ventures Fund,1
Ingram Content Group,1
Inmobi,1
Innovations East,1
Innoven Capital,7
Innoven Capital India,1
Insitor Impact Asia Fund,1
Instalabs,1
Institutional Venture Partners,1
Intel Capital,1
Intel Capital & Kae Capital,1
Intellecap Impact Investment Network,2
Intelli Reboot Digital Pvt. Ltd,1
Interglobe Technology Quotient,1
International Finance Corp,1
International Finance Corporation,2
International Finance Corporation (Ifc),1
International Financial Corporation,1
Internet Group,1
Interwest Partners,1
Intex Technologies,1
Inventus Capital,4
Inventus Capital Partners,4
Investment Ab Kinnevik,1
Investopad,1
Investors From Mumbai Angels & Letsventure,1
Iron Pillar And Iifl,1
Ishan Manaktala,1
Ishwar Singh,1
Ison,1
Itw Digital,1
Ivy League Alumni Angel Network,1
Ivycamp Ventures,2
Ivycap Ventures,9
Ivycap Ventures Advisors,1
Ivycap Ventures And Unicorn India Ventures,1
J.P. Bhatt,1
Jaarvis Accelerator,1
Jacqueline Fernandez,1
Jafco Asia,2
Jagdish & Sandeep Mehta Family Office,1
Jagdish Kumar,1
Jai Choi,1
Jaideep Mehta,1
Jaikumar Nair,1
Jairaj Singh,1
Jan Manten,1
Janak Jain,1
Janak Parikh,1
Japan & Teruhide Sato (In Addition To Mks Switzerland & Kris Gopalkrishnan),1
Japan Vyas,1
Jarett Posner,1
Jason Hirschhorn,1
Jaspal Bindra,1
Jasper Infotech Pvt Ltd,1
Jaspreet Bindra,1
Jatin Aneja,2
Jay Sethuram,1
Jay Srinivasan,1
Jay Vijayan,1
Jayabalan Subramanian,1
Jayant Bokadia,1
Jayant Davar,1
Jaydeep Barman,1
Jayesh Parekh,1
Jayesh Shah,1
Jaysukh Sapra,1
Jeevanandhan Rajagopal,1
Jeroen Mensen,1
Jitendra Gupta,3
Jitendra Gupta & Others,1
Jitu Virwani,1
Jll,2
Jm Financial Products Ltd,1
Jmr Infotech India Pvt Ltd,1
Joby Babu,1
John Katzman,1
Jonathan Boutelle,1
Jozef Bardik,1
Js Capital,1
Jsw Ventures,3
Jungle Venture Partners,1
Jungle Ventures,13
Jungle Ventures & Bessemer Venture Partners,1
Jupiter Capital,1
Justin Kan,1
K Ganesh,2
K2 Capital,1
Kae Capital,23
Kaizen Management Advisors,1
Kaizen Private Equity,1
Kalaari Capital,44
Kalaari Capital Accelerator Program,3
Kalaari Capital And Idg Ventures India,1
Kalaari Capital And Inventus Capital,1
Kalaari Capital Partners,1
Kalpana Tatavarti,1
Kamal Bansal,1
Kamal Chabra,1
Kamal Kothari,2
Kamal Puri,1
Kanchan Ghoshal,2
Kanodia Family,1
Kanpur Angels & Others,1
Kanwaljit Singh,5
Kapil Goel,1
Kapil Hetamsaria,1
Karan Bajwa,2
Karan Bhagat,1
Karan Chellani,2
Karan Maheshwari,1
Karanpal Singh,1
Karanpal Singh & Others,1
Karnataka Semiconductor Venture Capital Firm,1
Karsemven Fund,1
Karthee Madasamay,1
Kartik Hosanagar,1
Kashyap Deorah,3
Katabole Technology Venture,1
Kaushal Agarwal,1
Kcl,1
Kedar Lele,1
Keiretsu Forum,1
