,Word,Frequency
1344,Beat,1
1110,@Tequilatresgeneraciones,1
1357,Recently,1
1087,Ciudades,1
1358,Visited,1
1359,Beautiful,1
1059,Desde,1
1060,Link,1
1061,Bio!,1
1062,Nueva,1
1063,Ubicación,1
1064,@Paxia_Do,1
1065,Rooftop,1
1066,@Hotelumbral,1
1067,Termina,1
1264,Primero,1
1069,Experiencia,1
1369,Celebration,1
1070,Gastronómica,1
1368,Ongoing,1
1367,👌🏻💯,1
1366,Interiors,1
1073,Homenaje,1
1365,Done,1
1075,Tradicional,1
1076,"Mexicana,",1
1077,Pero,1
1364,Tastefully,1
1079,Giro,1
1363,Off,1
1362,Eyes,1
1361,Keep,1
1081,Experimental,1
1083,@Daniel_Ovadia.,1
1360,Couldn’T,1
1112,Invito,1
1113,Clase,1
1114,Cata,1
1141,Deliciosas,1
1143,Apapachar,1
1329,Pasand,1
1146,"Comensales,",1
1327,Kis,1
1148,Ofrecer,1
1150,Lleno,1
1151,Sabor,1
1152,Comida.,1
1153,Visites,1
1325,Purani,1
1154,Cuanto,1
1155,"Antes,",1
1324,Saal,1
1157,Rinconcitos,1
1158,Disfrutar,1
1159,Buenas,1
1323,100,1
1160,Polanco.,1
1161,"¡Gracias,",1
1162,"Gracias,",1
1322,#Cholekulche,1
1321,#Collab,1
1163,Gracias!,1
1164,5,1
1165,Años,1
1320,#Crispychicken,1
1319,#Kfcchickenfeastweek,1
1166,Jamás,1
1168,Imaginado,1
1331,Kisi,1
1140,Específicamente,1
1115,Tequila,1
1139,"Italiana,",1
1343,Nothing,1
1342,Daryaganj.,1
1118,Vivió,1
1119,#Catas,1
1120,#Sobremesa,1
1121,#Cocina,1
1122,Polanco,1
1341,"Kulche,",1
1123,Colonias,1
1124,Exclusivas,1
1339,Ke,1
1338,📍Lotan,1
1337,Yeh?,1
1336,Lagte,1
1335,Kaise,1
1128,No,1
1129,Sorpresa,1
1130,Albergue,1
1131,También,1
1132,Propuestas,1
1334,Aapko,1
1133,Gastronómicas,1
1333,Nahi,1
1134,Primer,1
1135,Nivel.,1
1136,Ellas,1
1137,Especializan,1
1138,Gastronomía,1
1332,Bilkul,1
1167,Hubiéramos,1
714,@Google,1
822,Dusting,1
336,Flamenco,1
334,Jazz,1
332,Well,1
330,"Wines,",1
327,Selection,1
325,Lively,1
322,Exceptional,1
321,Addition,1
320,🥘🤤,1
318,Satisfy,1
317,Senses,1
316,Delight,1
314,"Dishes,",1
312,Twists,1
311,Innovative,1
308,Continents.,1
335,"Nights,",1
337,"Acts,",1
306,Travel,1
338,More.,1
359,Light,1
358,Glass,1
357,Raise,1
356,#Spanish,1
355,#Global,1
354,#Soul,1
353,Plans!👯‍♀️,1
352,Weekend,1
350,"Chanakyapuri,",1
349,"Marg,",1
348,Niti,1
347,"Hotel,",1
346,Ashok,1
342,"Onwards,",1
339,💃🏻,1
307,Across,1
304,Search,1
363,"Wine,",1
272,Seaside,1
269,Transports,1
268,Entertainment,1
267,Dining,1
265,🍽️,1
264,Town!,1
262,Newest,1
261,"Soul,",1
259,Global,1
255,Step,1
254,@Soulnewdelhi,1
245,#Breakfast,1
244,#Sundaymorning,1
243,#Pancakes,1
241,List!👯‍♀️,1
239,Spots,1
270,90S,1
273,Bar;,1
303,"Wadhwan,",1
275,Contemporary,1
302,Anuj,1
300,Mastered,1
299,Handpicked,1
296,👨‍🍳,1
295,Chefs.,1
293,Team,1
291,Crafted,1
290,Expertly,1
289,"Cuisines,",1
288,Other,1
281,"Delhi,",1
280,Central,1
279,Heart,1
277,🍸😋,1
276,Mixology.,1
360,Crisp,1
364,Refreshing,1
821,Covered,1
441,17A,1
438,Senses.🍸🤤,1
437,"Waterfalls,",1
436,Mystical,1
435,"Flowers,",1
434,Colorful,1
433,"Greenery,",1
431,Cuisine.,1
430,Complements,1
429,Perfectly,1
428,Bartender,1
427,Turkish,1
426,Renowned,1
424,Extensive,1
423,😋🍽️,1
422,World.,1
439,12Pm,1
442,"City,",1
418,Taking,1
443,Westend,1
464,Friends!,1
463,Recommendations.,1
462,‘S,1
461,@Aaksheegakhar,1
458,Explore,1
455,#Globalcuisine,1
454,#Bestofwest,1
453,#Restrobar,1
452,#Kipos,1
451,Later!,1
448,"Bagh,",1
447,Punjabi,1
446,"Road,",1
445,Club,1
444,Hotel,1
419,Inspiration,1
417,"Adventure,",1
365,Escape,1
387,Flavours,1
384,#Wine,1
383,#Budgetfriendly,1
382,#Whitewine,1
381,Go-Tos!✨,1
380,Below,1
378,Occasion!,1
377,Any,1
374,Wines,1
373,Finest,1
372,Hand-Picked,1
371,Here'S,1
369,Life.,1
368,Everyday,1
367,Bustle,1
366,Hustle,1
385,#Stockup,1
388,Mediterranean,1
413,🤫,1
389,Surely,1
412,Theme.,1
411,Garden,1
410,Mystery,1
409,Ambiance,1
408,One-Of-A-Kind,1
406,Wonders.,1
405,Botanical,1
404,Transport,1
402,@Kipospb,1
400,#Guide,1
399,#Mediteranneanfood,1
394,Guide,1
393,"So,",1
392,🍽️🤤,1
391,Senses.,1
237,🤤✨,1
235,Oh-So-Delish,1
231,Mouth.😋🥞,1
101,#Itsonlyfood,1
95,💦🤷🏽‍♂️,1
94,Video?,1
89,#Michelinrestaurant,1
88,#Michelinstars,1
87,#Foodieadventures,1
86,#Foodietravel,1
85,#Spaintrip,1
84,#Travelspain,1
83,#Visitspain,1
82,"Girona,",1
80,❤️,1
79,@Danielgreve,1
77,Quality.,1
76,Divine,1
74,Visually-Appealing,1
100,😳🤣,1
102,#Getyourmindoutofthegutter,1
72,Brothers,1
104,This??,1
128,"Tomatoes,",1
127,Cherry,1
126,"Mushrooms,",1
125,"Brie,",1
124,Wheel,1
117,🤷🏽‍♂️🧀🔥,1
116,Snack?,1
115,Cheese,1
114,Baked,1
